epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,2185.23,0.48591,0.32967,0.97042,0.94981,0.88284,0.94706,0.79905,0.68363,0.43922,1.09977,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,2211.29,0.48184,0.32577,0.975,0.95848,0.87614,0.94648,0.80305,0.67667,0.44682,1.09573,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,2236.49,0.4803,0.3258,0.97184,0.93179,0.90429,0.94434,0.80405,0.67206,0.44706,1.08425,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,2261.17,0.48153,0.3267,0.97264,0.95604,0.88449,0.95159,0.80415,0.683,0.44544,1.08885,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,2287.11,0.38003,0.24936,0.89798,0.93653,0.90097,0.94653,0.79253,0.68462,0.44917,1.10659,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,2311.99,0.37238,0.24303,0.89098,0.94879,0.88779,0.94477,0.79384,0.68723,0.44815,1.09611,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,2337,0.37036,0.2371,0.88661,0.93857,0.89604,0.94234,0.79134,0.68139,0.44192,1.0923,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,2361.59,0.36644,0.23313,0.89029,0.93742,0.89934,0.94641,0.79647,0.67453,0.42888,1.08874,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,2386.35,0.36068,0.23055,0.8898,0.93483,0.89947,0.94507,0.79288,0.67645,0.4435,1.09589,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,2410.68,0.36368,0.23317,0.88656,0.94124,0.89869,0.9466,0.7971,0.66435,0.43967,1.08108,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,2434.99,0.35953,0.22753,0.88905,0.9587,0.8811,0.94548,0.79893,0.66103,0.44413,1.07729,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,2459.32,0.35468,0.22555,0.88315,0.9565,0.87624,0.94415,0.79733,0.66216,0.44089,1.08157,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,2483.68,0.35479,0.22406,0.88619,0.94017,0.89109,0.94723,0.79805,0.66433,0.44531,1.0777,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,2508.71,0.35211,0.22239,0.88253,0.94679,0.88779,0.94594,0.80052,0.66349,0.44555,1.07735,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
